               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.038193,            0.041425,          0.00072781,              0.4636,             0.40514,             0.34978,             0.12821,            0.062426,            0.047725,           0.0044477,            0.001288,            0.001288,            0.001288
                  90,             0.03793,            0.040877,          0.00066173,             0.46493,             0.40389,             0.34967,             0.12816,              0.0625,            0.047877,           0.0044617,            0.001189,            0.001189,            0.001189
                  91,            0.037577,            0.040634,          0.00064861,             0.46724,               0.402,             0.34895,             0.12803,            0.062575,            0.048034,           0.0044799,             0.00109,             0.00109,             0.00109
                  92,            0.037245,            0.040491,          0.00067577,             0.46973,             0.39977,              0.3486,             0.12773,            0.062652,             0.04819,           0.0044939,            0.000991,            0.000991,            0.000991
                  93,            0.036821,            0.039968,          0.00065693,             0.46777,             0.40059,             0.34811,             0.12754,            0.062729,            0.048358,            0.004505,            0.000892,            0.000892,            0.000892
                  94,              0.0366,            0.039812,           0.0006343,             0.46941,             0.39854,              0.3467,             0.12708,            0.062804,            0.048522,           0.0045184,            0.000793,            0.000793,            0.000793
                  95,            0.036297,            0.040226,          0.00060669,             0.47258,             0.39641,             0.34613,             0.12703,            0.062878,             0.04869,           0.0045327,            0.000694,            0.000694,            0.000694
                  96,            0.036075,             0.03967,          0.00059448,             0.47144,             0.39688,             0.34557,             0.12673,            0.062959,            0.048865,           0.0045478,            0.000595,            0.000595,            0.000595
                  97,            0.035792,            0.039386,          0.00058251,             0.47351,             0.39557,             0.34492,             0.12641,            0.063039,             0.04904,           0.0045653,            0.000496,            0.000496,            0.000496
                  98,            0.035543,            0.038882,          0.00053796,             0.47355,             0.39345,             0.34358,             0.12609,            0.063119,             0.04923,           0.0045824,            0.000397,            0.000397,            0.000397
                  99,            0.035189,            0.038809,          0.00053429,             0.47343,             0.39156,             0.34254,              0.1258,            0.063203,            0.049407,           0.0046004,            0.000298,            0.000298,            0.000298
